asset_number,asset_name,category_name,location_name,serial_number,quantity,acquisition_cost,accumulated_depreciation,net_book_value,useful_life_months,remaining_life_months,residual_value,acquisition_date,depreciation_start_date,assumption_note
Dotmac/OE/Dt023,All in One Desktop,ICT Equipment,Head Office.,8CC9491M8K,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt024,All in One Desktop,ICT Equipment,Head Office.,YJ01AS99,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt025,All in One Desktop,ICT Equipment,Head Office.,YJ00QRD9,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt026,All in One Desktop,ICT Equipment,Head Office.,8CC2251GVB,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt027,All in One Desktop,ICT Equipment,Head Office.,8CC2251GTX,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt028,All in One Desktop,ICT Equipment,Head Office.,8CC2251GON,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt029,All in One Desktop,ICT Equipment,Head Office.,8CC20814VL,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt030,All in One Desktop,ICT Equipment,Head Office.,8CC2251GS6,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt031,All in One Desktop,ICT Equipment,Head Office.,8CC2251GOD,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt032,All in One Desktop,ICT Equipment,Head Office.,8CC2251GSD,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt033,All in One Desktop,ICT Equipment,Head Office.,YJ0169BY,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt034,All in One Desktop,ICT Equipment,Head Office.,8CC2251GSQ,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt035,All in One Desktop,ICT Equipment,Head Office.,8CC2251GOH,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt036,All in One Desktop,ICT Equipment,Head Office.,8CC2251GT3,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt037,All in One Desktop,ICT Equipment,Head Office.,8CC2251GQC,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt038,All in One Desktop,ICT Equipment,Head Office.,8CC20814VF,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt039,All in One Desktop,ICT Equipment,Head Office.,8CC2251GSN,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt040,All in One Desktop,ICT Equipment,Head Office.,8CC2251GTO,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt041,All in One Desktop,ICT Equipment,Head Office.,8CC02828BX,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt042,All in One Desktop,ICT Equipment,Head Office.,8CC9491M9P,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt043,All in One Desktop,ICT Equipment,Head Office.,8CC20814TC,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt044,All in One Desktop,ICT Equipment,Head Office.,8CC9491MGL,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt045,All in One Desktop,ICT Equipment,Head Office.,8CC20814SW,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt046,All in One Desktop,ICT Equipment,Head Office.,8CC84104MK,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt047,All in One Desktop,ICT Equipment,Head Office.,8CC84415K4,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt048,All in One Desktop,ICT Equipment,Head Office.,8CC2251GT9,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt049,All in One Desktop,ICT Equipment,Head Office.,8CC9491M33,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt050,All in One Desktop,ICT Equipment,Head Office.,8CC20814TO,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt051,All in One Desktop,ICT Equipment,Head Office.,8CC9491M33,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt052,All in One Desktop,ICT Equipment,Head Office.,8CC20814T9,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt053,All in One Desktop,ICT Equipment,Head Office.,8CC9491M8V,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt054,All in One Desktop,ICT Equipment,Head Office.,8CC2202LMQ,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt055,All in One Desktop,ICT Equipment,Head Office.,8CC9491M93,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt056,All in One Desktop,ICT Equipment,Head Office.,8CC9491MT7,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt057,All in One Desktop,ICT Equipment,Head Office.,8CC83515CH,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt058,All in One Desktop,ICT Equipment,Head Office.,8CC8340F24,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt059,All in One Desktop,ICT Equipment,Head Office.,8CC3440H29,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
OPEN-FA-2024-0001,Desktop (CPU),ICT Equipment,Head Office.,CPU HP PRO DESK 400GS MT,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; generated temporary asset number; prefilled with zero financial values pending finance sign-off
OPEN-FA-2024-0002,Monitor,Other Fixed Asset,Head Office.,3CQ817066H,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; generated temporary asset number; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt060,All in One Desktop,ICT Equipment,Jabi BTS,8CC20814T2,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt061,All in one Desktop,ICT Equipment,Gwarimpa BTS,8CC9491MCG,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt062,All in one Desktop,ICT Equipment,Gwarimpa BTS,8CC9491MCB2,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt063,All in one Desktop,ICT Equipment,Gwarimpa BTS,8CC8370KLS/ 24-xa0057c,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt064,All in one Desktop,ICT Equipment,Gudu BTS,8CC9491M6F/20-c412nh,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb001,keyboard,ICT Equipment,Head Office.,BGAOCOALADOOBH,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb002,keyboard,ICT Equipment,Head Office.,BGAOCOALADOO5W,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb003,keyboard,ICT Equipment,Head Office.,BGAACOALADOOAO,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb004,keyboard,ICT Equipment,Head Office.,,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb005,keyboard,ICT Equipment,Head Office.,BKTAT0BUUGSOOC,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb006,keyboard,ICT Equipment,Head Office.,96300L5,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb007,keyboard,ICT Equipment,Head Office.,BGAACOALADOOO4,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb008,keyboard,ICT Equipment,Head Office.,BGCAFODUEDS6QP,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb009,keyboard,ICT Equipment,Head Office.,BKTATOBUUGS006,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb010,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSOMF,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb011,keyboard,ICT Equipment,Head Office.,BKTATOBUUGS008,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb012,keyboard,ICT Equipment,Head Office.,BGAACOALAD004H,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb013,keyboard,ICT Equipment,Head Office.,BGAACODLAG90NI,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb014,keyboard,ICT Equipment,Head Office.,BGAACOALAD008X,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb015,keyboard,ICT Equipment,Head Office.,BGMCHOBTJBAD3K,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb016,keyboard,ICT Equipment,Head Office.,BGMCHOBTJB643W,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb017,keyboard,ICT Equipment,Head Office.,BCYRRUOALABRJ9A,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb018,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSONB,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb019,keyboard,ICT Equipment,Head Office.,BGAACODLAG9DLA,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb020,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSOOG,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb021,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSOPF,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb022,keyboard,ICT Equipment,Head Office.,BGAACODLAG90KQ,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb023,keyboard,ICT Equipment,Head Office.,09SO4VM,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb024,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSON3,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb025,keyboard,ICT Equipment,Head Office.,BGMCHOATJB2EAI,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb026,keyboard,ICT Equipment,Head Office.,BGAACOALADOOD3,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb027,keyboard,ICT Equipment,Head Office.,16LO5Z9,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb028,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSOM9,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb029,keyboard,ICT Equipment,Head Office.,BKTATOBUUGS00U,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb030,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSONY,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb031,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSOPI,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb032,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSOPE,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb034,keyboard,ICT Equipment,Head Office.,BGAACODLAG90IH,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb035,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSONX,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb036,keyboard,ICT Equipment,Head Office.,BGAACODLAG90KL,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb037,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSOPB,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb038,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSOOE,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb039,keyboard,ICT Equipment,Head Office.,BKTATOBUUGSOOT,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Kb040,keyboard,ICT Equipment,Head Office.,11Z0387,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
